id	x	y	u	SOURCE_ID	phot_g_mean_mag	phot_bp_mean_mag	phot_rp_mean_mag	bp_rp	ra	dec	parallax
121	-3.08205	59.25597	16.391	5309187268506868352	13.762226104736328	14.00125789642334	13.35683536529541	0.6444225311279297	146.07103218119818	-54.09682795537631	0.279965091539799
122	-7.90697	-115.45222	16.362	5309186684397202304	13.656620025634766	13.910396575927734	13.233988761901855	0.6764078140258789	146.06964743883307	-54.14581898711225	0.3433449750994682
123	-12.71355	-125.42456	20.43	5309186684391295232	17.01030921936035	17.55031967163086	16.296199798583984	1.254119873046875	146.06739349695948	-54.14864397803045	0.3065578639670952
124	-15.69739	-20.66483	20.218	5309187165427639936	16.58050537109375	17.19813346862793	15.842537879943848	1.355595588684082	146.0653967577441	-54.11927139153072	0.2776748920467787
125	-22.37477	47.44632	16.459	5309187268506863616	13.825230598449709	14.06341552734375	13.427300453186035	0.6361150741577148	146.06181371627451	-54.10020376345145	0.3450991806435796
126	-23.36433	166.24621	16.986	5309187577744524160	14.332463264465332	14.641048431396484	13.855660438537598	0.7853879928588867	146.06070434925826	-54.06690837437951	0.7815504793535214
127	-27.29601	-51.4465	19.987	5309187126753016832	16.71944236755371	17.229951858520508	16.051307678222656	1.1786441802978516	146.05994523816688	-54.12793498753774	0.2963291837645917
128	-32.71292	-71.17559	18.895	5309187131068022400	15.751020431518556	16.12423324584961	15.194326400756836	0.9299068450927734	146.0574781553642	-54.13349200931407	0.3857184107494524
129	-38.14468	-192.06494	18.559	5309186650031668096	15.55417251586914	15.937305450439451	15.000750541687012	0.9365549087524414	146.055512115829	-54.16740587871939	0.7041435457968468
130	-39.43873	-319.07348	19.718	5309185687958977408	16.566204071044922	16.94978141784668	16.000629425048828	0.9491519927978516	146.05554588365547	-54.20298816721763	0.1296597092450812
131	-52.29453	-46.37717	19.946	5309187131067896576	16.422563552856445	17.021909713745117	15.664201736450195	1.357707977294922	146.04790193926522	-54.12660170730141	0.1739348685234928
132	-53.88128	83.36629	16.429	5309187474665294592	13.782265663146973	14.175348281860352	13.185123443603516	0.990224838256836	146.04646846894337	-54.09023242912893	0.1600115647623335
133	-54.10932	188.34226	19.96	5309187577744523136	16.723705291748047	17.16489601135254	16.09733772277832	1.0675582885742188	146.045834511707	-54.06080646878036	0.2587540495158326
134	-55.65035	71.41363	19.922	5309187371586077824	16.658985137939453	17.18124008178711	15.98076343536377	1.2004766464233398	146.04568686314173	-54.0935786989424	0.3479665922048192
135	-58.67744	38.36447	19.659	5309187371586072192	16.402070999145508	16.848560333251953	15.798810005187988	1.0497503280639648	146.04441483199935	-54.1028641014715	0.6419429168569833
136	-59.68358	179.37613	17.32	5309187577744521856	14.650561332702637	14.923810958862305	14.21596622467041	0.7078447341918945	146.04319022043092	-54.06333480282452	0.5247680273114071
137	-62.88733	-139.04529	15.894	5309186650031552256	13.340764999389648	13.60183334350586	12.917654991149902	0.684178352355957	146.04330633087056	-54.15261421470957	0.6443319100522427
138	-65.21422	-169.21431	19.906	5309186650031549568	16.07805061340332	16.736474990844727	15.278624534606934	1.457850456237793	146.04233498022322	-54.16107720549435	0.2304568665060846
139	-69.02701	53.80405	20.334	5309187371586073472	16.85525131225586	17.344758987426758	16.2276611328125	1.1170978546142578	146.03935618050252	-54.09855472680656	0.586595853501364
140	-68.85742	235.53225	17.8	5309199328776263040	12.418245315551758	13.22764015197754	11.540497779846191	1.6871423721313477	146.03849137575887	-54.04762589097263	0.4763919831204953
141	-75.24423	-258.49916	20.441	5309186512592701056	16.80062484741211	17.429733276367188	16.026134490966797	1.4035987854003906	146.03795488446306	-54.186146302705886	0.2744778919504016
142	-76.28788	-194.9596	17.484	5309186546952332544	14.769888877868652	15.148296356201172	14.194222450256348	0.9540739059448242	146.03714679706871	-54.1683199175049	0.183379797728025
143	-75.30593	72.62902	16.394	5309187435993764736	13.58487319946289	13.8663911819458	13.122655868530272	0.7437353134155273	146.03622812730387	-54.09330520419454	0.3558564908900463
144	-77.76702	-106.5443	19.699	5309186718751029888	16.406686782836914	16.94719696044922	15.709266662597656	1.2379302978515625	146.03597543320214	-54.14354530997709	0.4243696360348314
145	-81.70781	-33.89838	20.257	5309186954954322688	16.88593101501465	17.38030242919922	16.200292587280273	1.180009841918945	146.03369182767705	-54.12318660202907	0.3972345051770609
146	-83.76965	144.12055	15.367	5309187543384777344	10.630306243896484	11.274337768554688	9.86396598815918	1.4103717803955078	146.03181082424	-54.073297108093485	1.0807370718340257
147	-84.80174	64.66792	20.324	5309187435990762240	16.9041805267334	17.3649845123291	16.26764678955078	1.0973377227783203	146.03170649710947	-54.09555326166624	0.3229484680135744
148	-85.65133	73.66744	17.677	5309187440305551104	13.036691665649414	13.810417175292969	12.173001289367676	1.637415885925293	146.0312437838825	-54.0930379634039	0.3430775425844201
149	-87.49803	90.65838	20.463	5309187440305552896	16.95555305480957	17.448322296142578	16.270883560180664	1.177438735961914	146.03027008736464	-54.08830616609284	0.4619061018557073
150	-90.12778	-99.81925	20.227	5309186714436120704	16.847455978393555	17.419517517089844	16.13521385192871	1.2843036651611328	146.02997492626193	-54.141701545900624	0.3452528349184752
151	-88.94767	184.86959	20.392	5309199290102942848	16.910133361816406	17.47974967956543	16.154966354370117	1.3247833251953125	146.02909174278048	-54.061873434486	0.4133349850672826
152	-92.29957	-31.99655	20.331	5309186959269203584	16.135114669799805	16.718284606933594	15.404468536376951	1.3138160705566406	146.02865172839586	-54.12270755226091	1.102503452254168
153	-93.92169	-169.66165	16.506	5309186615671809792	13.904669761657717	14.23773956298828	13.396790504455566	0.8409490585327148	146.02859390514158	-54.16127249268756	1.3018451372060964
154	-97.56928	-264.41613	17.659	5309186512592698368	14.936020851135254	15.275002479553224	14.429767608642578	0.8452348709106445	146.0272633912626	-54.18786059458689	0.7046670265962789
155	-96.6097	-152.45535	20.546	5309186611356869760	17.239368438720703	17.79685401916504	16.50312042236328	1.2937335968017578	146.02713482007513	-54.156509493581645	0.4003139055880633
156	-93.8519	189.0066	18.398	5309199294416519808	15.36882495880127	15.701488494873049	14.856607437133787	0.8448810577392578	146.02672649906083	-54.06073704360356	0.3358226367551175
157	-97.85304	136.55198	19.438	5309199294416515584	16.413408279418945	16.888479232788086	15.771306991577148	1.1171722412109375	146.02507459217574	-54.07544718175338	0.6237453840373998
158	-102.45745	-323.78356	18.781	5308810445257922816	16.01418113708496	16.389997482299805	15.465858459472656	0.9241390228271484	146.02519891995962	-54.20449050516395	0.5028199939649116
159	-104.44575	-190.69268	18.076	5309186615671807488	15.39864444732666	15.643200874328612	14.936594009399414	0.7066068649291992	146.02356868932378	-54.16720425403649	0.1814392772440769
160	-103.3162	187.30835	18.383	5309199290100553984	15.282475471496582	15.714871406555176	14.675674438476562	1.0391969680786133	146.02220839975644	-54.06125644845197	0.8200181622161536
161	-116.20658	135.89084	20.581	5309199191337299328	17.093238830566406	17.68014907836914	16.359949111938477	1.320199966430664	146.01622889942684	-54.07567742339518	0.0717053824716071
162	-120.00245	-159.99636	19.417	5309186611356866560	16.29315757751465	16.7530460357666	15.670113563537598	1.082932472229004	146.01591774912688	-54.1586495784621	0.3083272450537238
163	-121.17169	-225.5894	20.548	5309186581312065408	17.38557243347168	17.861209869384766	16.747894287109375	1.1133155822753906	146.0156781848416	-54.17704952921585	0.4648594474601978
164	-122.1457	-194.01815	17.856	5309186581312067200	14.828832626342772	15.2540864944458	14.228995323181152	1.0250911712646484	146.01506096758183	-54.16820680973096	0.4597016396027701
