ra,dec,u
146.18498,-54.16753,19.814
146.1787,-54.07322,18.505
146.04208,-54.14901,20.059
146.03311,-54.20328,19.003
145.94817,-54.12212,20.389
146.20344,-54.0938,19.668
146.19331,-54.08159,19.987
146.1858,-54.14918,18.876
146.13585,-54.11077,17.703
146.09768,-54.12635,19.82
146.18688,-54.06359,16.491
146.13568,-54.21031,18.964
146.00464,-54.08724,20.062
146.11863,-54.08439,20.01
145.9903,-54.20332,17.309
146.13695,-54.11095,20.268
146.13562,-54.2108,19.355
